"id";"dht11_umidade";"dht11_temperatura";"luminosidade";"lm35_temperatura";"chave"
1;54.4;28.7;41.0;39.04;1
2;54.4;28.7;40.0;38.55;1
3;54.4;28.7;31.0;35.62;1
4;54.4;28.7;26.0;33.18;1
5;54.4;28.7;26.0;32.7;1
6;54.4;28.8;22.0;29.77;1
7;54.4;28.8;19.0;29.28;1
8;54.3;28.8;20.0;32.21;1
9;54.3;28.8;18.0;31.72;1
10;54.3;28.8;21.0;28.79;1
11;54.3;28.8;19.0;29.28;1
12;54.2;28.8;20.0;30.26;1
13;54.1;28.8;22.0;31.72;1
14;54.0;28.8;22.0;29.28;1
15;53.9;28.8;21.0;29.28;1
16;53.8;28.8;21.0;29.77;1
17;53.6;28.8;21.0;30.26;1
18;53.5;28.8;31.0;31.72;1
19;53.5;28.8;24.0;32.21;1
20;53.5;28.8;27.0;33.18;1
21;53.5;28.8;28.0;32.7;1
22;53.4;28.8;28.0;33.18;1
23;53.4;28.8;27.0;32.21;1
24;53.3;28.8;29.0;35.14;1
25;53.3;28.8;28.0;32.7;1
26;53.2;28.8;28.0;32.21;1
27;53.1;28.8;30.0;32.21;1
28;53.1;28.8;29.0;33.18;1
29;53.0;28.8;30.0;32.21;1
30;53.0;28.8;31.0;31.72;1
31;53.0;28.7;30.0;33.18;1
32;52.9;28.7;29.0;32.7;1
33;52.9;28.7;31.0;31.23;1
34;52.9;28.7;31.0;33.18;1
35;52.8;28.7;29.0;34.65;1
36;52.8;28.7;31.0;29.77;1
37;52.7;28.7;33.0;32.7;1
38;52.7;28.7;31.0;32.7;1
39;52.7;28.7;32.0;34.65;1
40;52.7;28.7;33.0;33.18;1
41;52.7;28.7;31.0;34.16;1
42;52.7;28.7;31.0;32.7;1
43;52.7;28.7;28.0;31.72;1
44;52.7;28.7;31.0;31.23;1
45;52.8;28.7;31.0;33.18;1
46;52.8;28.7;29.0;32.7;1
47;52.8;28.7;30.0;34.16;1
48;52.8;28.7;31.0;32.7;1
49;52.8;28.7;30.0;33.18;1
50;52.9;28.7;29.0;32.21;1
51;52.9;28.7;33.0;33.18;1
52;52.9;28.7;33.0;35.62;1
53;52.9;28.7;32.0;33.67;1
54;52.9;28.7;32.0;34.16;1
55;53.0;28.7;27.0;37.09;1
56;53.0;28.7;31.0;32.21;1
57;53.1;28.7;29.0;33.18;1
58;53.3;28.7;29.0;31.72;1
59;53.6;28.7;31.0;33.18;1
60;53.8;28.7;24.0;28.3;1
61;54.0;28.7;24.0;31.23;1
62;54.1;28.7;23.0;30.26;1
63;54.1;28.7;25.0;30.26;1
64;54.0;28.7;26.0;30.26;1
65;53.9;28.7;25.0;31.72;1
66;53.8;28.7;26.0;31.23;1
67;53.7;28.7;26.0;32.21;1
68;53.7;28.7;27.0;31.72;1
69;53.6;28.7;25.0;31.72;1
70;53.5;28.7;25.0;31.72;1
71;53.4;28.7;27.0;33.18;1
72;53.4;28.7;27.0;31.23;1
73;53.3;28.7;25.0;32.21;1
74;53.3;28.7;25.0;30.26;1
75;53.2;28.7;27.0;31.23;1
76;53.2;28.7;26.0;31.72;1
77;53.2;28.7;25.0;31.72;1
78;53.1;28.7;26.0;30.74;1
79;53.1;28.7;27.0;32.7;1
80;53.1;28.7;26.0;32.21;1
81;53.0;28.7;27.0;31.72;1
82;53.0;28.7;28.0;31.72;1
83;52.9;28.7;27.0;31.72;1
84;52.9;28.7;27.0;31.72;1
85;52.9;28.7;28.0;33.67;1
86;52.9;28.7;28.0;32.7;1
87;52.8;28.7;26.0;31.72;1
88;52.8;28.7;26.0;30.26;1
89;52.8;28.7;28.0;31.72;1
90;52.8;28.7;28.0;32.7;1
91;52.8;28.7;27.0;32.21;1
92;52.8;28.7;27.0;32.21;1
93;52.8;28.7;29.0;32.21;1
94;52.8;28.7;28.0;32.7;1
95;52.8;28.7;27.0;31.72;1
96;52.7;28.7;27.0;31.23;1
97;52.7;28.7;29.0;33.67;1
98;52.8;28.7;27.0;31.72;1
99;52.8;28.7;26.0;32.7;1
100;52.8;28.7;27.0;31.72;1
101;52.9;28.7;28.0;31.72;1
102;52.9;28.7;27.0;31.72;1
103;52.9;28.7;27.0;32.21;1
104;52.9;28.7;28.0;29.28;1
105;52.9;28.7;28.0;31.23;1
106;52.9;28.7;27.0;31.72;1
107;52.9;28.7;26.0;31.72;1
108;52.9;28.7;29.0;31.72;1
109;52.8;28.7;28.0;31.23;1
110;52.8;28.7;26.0;30.74;1
111;52.8;28.7;29.0;31.72;1
112;52.8;28.7;27.0;33.18;1
113;52.8;28.7;27.0;32.7;1
114;52.8;28.7;29.0;30.74;1
115;52.8;28.7;27.0;32.21;1
116;52.8;28.7;27.0;33.18;1
117;52.8;28.7;28.0;31.23;1
118;52.8;28.7;28.0;32.7;1
119;52.7;28.7;26.0;31.23;1
120;52.7;28.7;28.0;32.7;1
121;52.7;28.7;29.0;30.26;1
122;52.7;28.7;26.0;32.7;1
123;52.7;28.7;27.0;32.21;1
124;52.7;28.7;27.0;29.77;1
125;52.7;28.7;26.0;30.74;1
126;52.7;28.7;28.0;30.26;1
127;52.7;28.7;28.0;32.21;1
128;52.7;28.7;27.0;31.72;1
129;52.7;28.7;27.0;31.72;1
130;52.7;28.7;29.0;32.21;0
131;52.7;28.7;29.0;32.7;0
132;52.7;28.7;27.0;31.23;0
133;52.6;28.7;28.0;33.67;0
134;52.6;28.7;30.0;32.21;0
135;52.6;28.7;30.0;33.18;0
136;52.6;28.7;28.0;32.21;0
137;52.6;28.7;27.0;32.21;0
138;52.6;28.7;29.0;34.16;0
139;52.6;28.7;30.0;32.21;0
140;52.6;28.7;28.0;31.72;0
141;52.6;28.7;30.0;31.72;0
142;52.6;28.7;28.0;32.7;0
143;52.6;28.7;29.0;32.21;0
144;52.6;28.7;30.0;34.65;0
145;52.7;28.7;27.0;33.18;0
146;52.7;28.7;29.0;32.7;0
147;52.7;28.7;29.0;31.23;0
148;52.7;28.7;26.0;32.7;0
149;52.7;28.7;28.0;33.18;0
150;52.6;28.7;29.0;31.23;0
