11/10/2023;;;;;;;;
hora;dht11_umidade;lm35_temperatura;temperatura;umidade;hora;dht11_umidade;lm35_temperatura;
08:00;54,4;39    ;2,3;1,4;08:00;76;17;
08:01;54,4;38,55;2,3;1,4;08:01;76;17;
08:02;54,4;35,62;2,3;1,4;08:02;76;15;
08:03;54,4;33,18;2,3;1,4;08:03;76;14;
08:04;54,4;32,7;2,3;1,4;08:04;76;14;
08:05;54,4;29,77;2,3;1,4;08:05;76;13;
08:06;54,4;29,28;2,3;1,4;08:06;76;13;
08:07;54,3;32,21;2,3;1,4;08:07;76;14;
08:08;54,3;31,72;2,3;1,4;08:08;76;14;
08:09;54,3;28,79;2,3;1,4;08:09;76;13;
08:10;54,3;29,28;2,3;1,4;08:10;76;13;
08:11;54,2;30,26;2,3;1,4;08:11;76;13;
08:12;54,1;31,72;2,3;1,4;08:12;76;14;
08:13;54,0;29,28;2,3;1,4;08:13;76;13;
08:14;53,9;29,28;2,3;1,4;08:14;75;13;
08:15;53,8;29,77;2,3;1,4;08:15;75;13;
08:16;53,6;30,26;2,3;1,4;08:16;75;13;
08:17;53,5;31,72;2,3;1,4;08:17;75;14;
08:18;53,5;32,21;2,3;1,4;08:18;75;14;
08:19;53,5;33,18;2,3;1,4;08:19;75;14;
08:20;53,5;32,7;2,3;1,4;08:20;75;14;
08:21;53,4;33,18;2,3;1,4;08:21;75;14;
08:22;53,4;32,21;2,3;1,4;08:22;75;14;
08:23;53,3;35,14;2,3;1,4;08:23;75;15;
08:24;53,3;32,7;2,3;1,4;08:24;75;14;
08:25;53,2;32,21;2,3;1,4;08:25;74;14;
08:26;53,1;32,21;2,3;1,4;08:26;74;14;
08:27;53,1;33,18;2,3;1,4;08:27;74;14;
08:28;53,0;32,21;2,3;1,4;08:28;74;14;
08:29;53,0;31,72;2,3;1,4;08:29;74;14;
08:30;53,0;33,18;2,3;1,4;08:30;74;14;
08:31;52,9;32,7;2,3;1,4;08:31;74;14;
08:32;52,9;31,23;2,3;1,4;08:32;74;14;
08:33;52,9;33,18;2,3;1,4;08:33;74;14;
08:34;52,8;34,65;2,3;1,4;08:34;74;15;
08:35;52,8;29,77;2,3;1,4;08:35;74;13;
08:36;52,7;32,7;2,3;1,4;08:36;74;14;
08:37;52,7;32,7;2,3;1,4;08:37;74;14;
08:38;52,7;34,65;2,3;1,4;08:38;74;15;
08:39;52,7;33,18;2,3;1,4;08:39;74;14;
08:40;52,7;34,16;2,3;1,4;08:40;74;15;
08:41;52,7;32,7;2,3;1,4;08:41;74;14;
08:42;52,7;31,72;2,3;1,4;08:42;74;14;
08:43;52,7;31,23;2,3;1,4;08:43;74;14;
08:44;52,8;33,18;2,3;1,4;08:44;74;14;
08:45;52,8;32,7;2,3;1,4;08:45;74;14;
08:46;52,8;34,16;2,3;1,4;08:46;74;15;
08:47;52,8;32,7;2,3;1,4;08:47;74;14;
08:48;52,8;33,18;2,3;1,4;08:48;74;14;
08:49;52,9;32,21;2,3;1,4;08:49;74;14;
08:50;52,9;33,18;2,3;1,4;08:50;74;14;
08:51;52,9;35,62;2,3;1,4;08:51;74;15;
08:52;52,9;33,67;2,3;1,4;08:52;74;15;
08:53;52,9;34,16;2,3;1,4;08:53;74;15;
08:54;53,0;37,09;2,3;1,4;08:54;74;16;
08:55;53,0;32,21;2,3;1,4;08:55;74;14;
08:56;53,1;33,18;2,3;1,4;08:56;74;14;
08:57;53,3;31,72;2,3;1,4;08:57;75;14;
08:58;53,6;33,18;2,3;1,4;08:58;75;14;
08:59;53,8;28,3;2,3;1,4;08:59;75;12;
09:00;54,0;31,23;2,3;1,4;09:00;76;14;
;;;;;;;;
hora;dht11_umidade;lm35_temperatura;;;;;;
08:00;54,4;39,04;;;;;;
08:01;54,4;38,55;;;;;;
08:02;54,4;35,62;;;;;;
08:03;54,4;33,18;;;;;;
08:04;54,4;32,7;;;;;;
08:05;54,4;29,77;;;;;;
08:06;54,4;29,28;;;;;;
08:07;54,3;32,21;;;;;;
08:08;54,3;31,72;;;;;;
08:09;54,3;28,79;;;;;;
08:10;54,3;29,28;;;;;;
08:11;54,2;30,26;;;;;;
08:12;54,1;31,72;;;;;;
08:13;54;29,28;;;;;;
08:14;53,9;29,28;;;;;;
08:15;53,8;29,77;;hora;dht11_umidade;;;
08:16;53,6;30,26;;08:00;76;;;
08:17;53,5;31,72;;08:01;76;;;
08:18;53,5;32,21;;08:02;76;;;
08:19;53,5;33,18;;08:03;76;;;
08:20;53,5;32,7;;08:04;76;;;
08:21;53,4;33,18;;08:05;76;;;
08:22;53,4;32,21;;08:06;76;;;
08:23;53,3;35,14;;08:07;76;;;
08:24;53,3;32,7;;08:08;76;;;
08:25;53,2;32,21;;08:09;76;;;
08:26;53,1;32,21;;08:10;76;;;
08:27;53,1;33,18;;;;;;
08:28;53;32,21;;Hora;Temperatura;;;
08:29;53;31,72;;08:00;17;;;
08:30;53;33,18;;08:01;17;;;
08:31;52,9;32,7;;08:02;15;;;
08:32;52,9;31,23;;08:03;14;;;
08:33;52,9;33,18;;08:04;14;;;
08:34;52,8;34,65;;08:05;13;;;
08:35;52,8;29,77;;08:06;13;;;
08:36;52,7;32,7;;08:07;14;;;
08:37;52,7;32,7;;08:08;14;;;
08:38;52,7;34,65;;08:09;13;;;
08:39;52,7;33,18;;08:10;13;;;
08:40;52,7;34,16;;;;;;
08:41;52,7;32,7;;;;;;
08:42;52,7;31,72;;;;;;
08:43;52,7;31,23;;;;;;
08:44;52,8;33,18;;;;;;
08:45;52,8;32,7;;;;;;
08:46;52,8;34,16;;;;;;
08:47;52,8;32,7;;;;;;
08:48;52,8;33,18;;;;;;
08:49;52,9;32,21;;;;;;
08:50;52,9;33,18;;;;;;
08:51;52,9;35,62;;;;;;
08:52;52,9;33,67;;;;;;
08:53;52,9;34,16;;;;;;
08:54;53;37,09;;;;;;
08:55;53;32,21;;;;;;
08:56;53,1;33,18;;;;;;
08:57;53,3;31,72;;;;;;
08:58;53,6;33,18;;;;;;
08:59;53,8;28,3;;;;;;
09:00;54;31,23;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
